10/3072 plants; 1 calls; 10 passed, 0 failed
20/3072 plants; 2 calls; 20 passed, 0 failed
30/3072 plants; 3 calls; 30 passed, 0 failed
40/3072 plants; 4 calls; 40 passed, 0 failed
50/3072 plants; 5 calls; 50 passed, 0 failed
60/3072 plants; 6 calls; 60 passed, 0 failed
70/3072 plants; 7 calls; 70 passed, 0 failed
80/3072 plants; 8 calls; 80 passed, 0 failed
90/3072 plants; 9 calls; 90 passed, 0 failed
100/3072 plants; 10 calls; 100 passed, 0 failed
110/3072 plants; 11 calls; 110 passed, 0 failed
120/3072 plants; 12 calls; 120 passed, 0 failed
130/3072 plants; 13 calls; 130 passed, 0 failed
140/3072 plants; 14 calls; 130 passed, 10 failed
150/3072 plants; 15 calls; 140 passed, 10 failed
160/3072 plants; 16 calls; 150 passed, 10 failed
170/3072 plants; 17 calls; 160 passed, 10 failed
180/3072 plants; 18 calls; 170 passed, 10 failed
190/3072 plants; 19 calls; 180 passed, 10 failed
200/3072 plants; 20 calls; 190 passed, 10 failed
210/3072 plants; 21 calls; 200 passed, 10 failed
220/3072 plants; 22 calls; 210 passed, 10 failed
230/3072 plants; 23 calls; 220 passed, 10 failed
240/3072 plants; 24 calls; 230 passed, 10 failed
250/3072 plants; 25 calls; 240 passed, 10 failed
260/3072 plants; 26 calls; 250 passed, 10 failed
270/3072 plants; 27 calls; 260 passed, 10 failed
280/3072 plants; 28 calls; 270 passed, 10 failed
290/3072 plants; 29 calls; 280 passed, 10 failed
300/3072 plants; 30 calls; 290 passed, 10 failed
310/3072 plants; 31 calls; 300 passed, 10 failed
320/3072 plants; 32 calls; 310 passed, 10 failed
330/3072 plants; 33 calls; 320 passed, 10 failed
340/3072 plants; 34 calls; 330 passed, 10 failed
350/3072 plants; 35 calls; 340 passed, 10 failed
360/3072 plants; 36 calls; 350 passed, 10 failed
370/3072 plants; 37 calls; 360 passed, 10 failed
380/3072 plants; 38 calls; 370 passed, 10 failed
390/3072 plants; 39 calls; 380 passed, 10 failed
400/3072 plants; 40 calls; 390 passed, 10 failed
410/3072 plants; 41 calls; 400 passed, 10 failed
420/3072 plants; 42 calls; 410 passed, 10 failed
430/3072 plants; 43 calls; 420 passed, 10 failed
440/3072 plants; 44 calls; 430 passed, 10 failed
450/3072 plants; 45 calls; 440 passed, 10 failed
460/3072 plants; 46 calls; 450 passed, 10 failed
470/3072 plants; 47 calls; 460 passed, 10 failed
480/3072 plants; 48 calls; 470 passed, 10 failed
490/3072 plants; 49 calls; 480 passed, 10 failed
500/3072 plants; 50 calls; 490 passed, 10 failed
510/3072 plants; 51 calls; 500 passed, 10 failed
520/3072 plants; 52 calls; 510 passed, 10 failed
530/3072 plants; 53 calls; 520 passed, 10 failed
540/3072 plants; 54 calls; 530 passed, 10 failed
550/3072 plants; 55 calls; 540 passed, 10 failed
560/3072 plants; 56 calls; 550 passed, 10 failed
570/3072 plants; 57 calls; 560 passed, 10 failed
580/3072 plants; 58 calls; 570 passed, 10 failed
590/3072 plants; 59 calls; 580 passed, 10 failed
600/3072 plants; 60 calls; 590 passed, 10 failed
610/3072 plants; 61 calls; 600 passed, 10 failed
620/3072 plants; 62 calls; 610 passed, 10 failed
630/3072 plants; 63 calls; 620 passed, 10 failed
640/3072 plants; 64 calls; 630 passed, 10 failed
650/3072 plants; 65 calls; 640 passed, 10 failed
660/3072 plants; 66 calls; 650 passed, 10 failed
670/3072 plants; 67 calls; 660 passed, 10 failed
680/3072 plants; 68 calls; 670 passed, 10 failed
690/3072 plants; 69 calls; 680 passed, 10 failed
700/3072 plants; 70 calls; 690 passed, 10 failed
710/3072 plants; 71 calls; 700 passed, 10 failed
720/3072 plants; 72 calls; 710 passed, 10 failed
730/3072 plants; 73 calls; 720 passed, 10 failed
740/3072 plants; 74 calls; 730 passed, 10 failed
750/3072 plants; 75 calls; 740 passed, 10 failed
760/3072 plants; 76 calls; 750 passed, 10 failed
770/3072 plants; 77 calls; 760 passed, 10 failed
780/3072 plants; 78 calls; 770 passed, 10 failed
790/3072 plants; 79 calls; 780 passed, 10 failed
800/3072 plants; 80 calls; 790 passed, 10 failed
810/3072 plants; 81 calls; 800 passed, 10 failed
820/3072 plants; 82 calls; 810 passed, 10 failed
830/3072 plants; 83 calls; 820 passed, 10 failed
840/3072 plants; 84 calls; 830 passed, 10 failed
850/3072 plants; 85 calls; 840 passed, 10 failed
860/3072 plants; 86 calls; 850 passed, 10 failed
870/3072 plants; 87 calls; 860 passed, 10 failed
880/3072 plants; 88 calls; 870 passed, 10 failed
890/3072 plants; 89 calls; 880 passed, 10 failed
900/3072 plants; 90 calls; 890 passed, 10 failed
910/3072 plants; 91 calls; 900 passed, 10 failed
920/3072 plants; 92 calls; 910 passed, 10 failed
930/3072 plants; 93 calls; 920 passed, 10 failed
940/3072 plants; 94 calls; 930 passed, 10 failed
950/3072 plants; 95 calls; 940 passed, 10 failed
960/3072 plants; 96 calls; 950 passed, 10 failed
970/3072 plants; 97 calls; 960 passed, 10 failed
980/3072 plants; 98 calls; 970 passed, 10 failed
990/3072 plants; 99 calls; 980 passed, 10 failed
1000/3072 plants; 100 calls; 990 passed, 10 failed
1010/3072 plants; 101 calls; 1000 passed, 10 failed
1020/3072 plants; 102 calls; 1010 passed, 10 failed
1030/3072 plants; 103 calls; 1020 passed, 10 failed
1040/3072 plants; 104 calls; 1030 passed, 10 failed
1050/3072 plants; 105 calls; 1040 passed, 10 failed
1060/3072 plants; 106 calls; 1050 passed, 10 failed
1070/3072 plants; 107 calls; 1060 passed, 10 failed
1080/3072 plants; 108 calls; 1070 passed, 10 failed
1090/3072 plants; 109 calls; 1080 passed, 10 failed
1100/3072 plants; 110 calls; 1090 passed, 10 failed
1110/3072 plants; 111 calls; 1100 passed, 10 failed
1120/3072 plants; 112 calls; 1110 passed, 10 failed
1130/3072 plants; 113 calls; 1120 passed, 10 failed
1140/3072 plants; 114 calls; 1130 passed, 10 failed
1150/3072 plants; 115 calls; 1140 passed, 10 failed
1160/3072 plants; 116 calls; 1150 passed, 10 failed
1170/3072 plants; 117 calls; 1160 passed, 10 failed
1180/3072 plants; 118 calls; 1170 passed, 10 failed
1190/3072 plants; 119 calls; 1180 passed, 10 failed
1200/3072 plants; 120 calls; 1190 passed, 10 failed
1210/3072 plants; 121 calls; 1200 passed, 10 failed
1220/3072 plants; 122 calls; 1210 passed, 10 failed
1230/3072 plants; 123 calls; 1220 passed, 10 failed
1240/3072 plants; 124 calls; 1230 passed, 10 failed
1250/3072 plants; 125 calls; 1240 passed, 10 failed
1260/3072 plants; 126 calls; 1250 passed, 10 failed
1270/3072 plants; 127 calls; 1260 passed, 10 failed
1280/3072 plants; 128 calls; 1270 passed, 10 failed
1290/3072 plants; 129 calls; 1280 passed, 10 failed
1300/3072 plants; 130 calls; 1290 passed, 10 failed
1310/3072 plants; 131 calls; 1300 passed, 10 failed
1320/3072 plants; 132 calls; 1310 passed, 10 failed
1330/3072 plants; 133 calls; 1320 passed, 10 failed
1340/3072 plants; 134 calls; 1330 passed, 10 failed
1350/3072 plants; 135 calls; 1340 passed, 10 failed
1360/3072 plants; 136 calls; 1350 passed, 10 failed
1370/3072 plants; 137 calls; 1360 passed, 10 failed
1380/3072 plants; 138 calls; 1370 passed, 10 failed
1390/3072 plants; 139 calls; 1380 passed, 10 failed
1400/3072 plants; 140 calls; 1390 passed, 10 failed
1410/3072 plants; 141 calls; 1400 passed, 10 failed
1420/3072 plants; 142 calls; 1410 passed, 10 failed
1430/3072 plants; 143 calls; 1420 passed, 10 failed
1440/3072 plants; 144 calls; 1430 passed, 10 failed
1450/3072 plants; 145 calls; 1440 passed, 10 failed
1460/3072 plants; 146 calls; 1450 passed, 10 failed
1470/3072 plants; 147 calls; 1460 passed, 10 failed
1480/3072 plants; 148 calls; 1470 passed, 10 failed
1490/3072 plants; 149 calls; 1480 passed, 10 failed
1500/3072 plants; 150 calls; 1490 passed, 10 failed
1510/3072 plants; 151 calls; 1500 passed, 10 failed
1520/3072 plants; 152 calls; 1510 passed, 10 failed
1530/3072 plants; 153 calls; 1520 passed, 10 failed
1540/3072 plants; 154 calls; 1530 passed, 10 failed
1550/3072 plants; 155 calls; 1540 passed, 10 failed
1560/3072 plants; 156 calls; 1550 passed, 10 failed
1570/3072 plants; 157 calls; 1560 passed, 10 failed
1580/3072 plants; 158 calls; 1570 passed, 10 failed
1590/3072 plants; 159 calls; 1580 passed, 10 failed
1600/3072 plants; 160 calls; 1590 passed, 10 failed
1610/3072 plants; 161 calls; 1600 passed, 10 failed
1620/3072 plants; 162 calls; 1610 passed, 10 failed
1630/3072 plants; 163 calls; 1620 passed, 10 failed
1640/3072 plants; 164 calls; 1630 passed, 10 failed
1650/3072 plants; 165 calls; 1640 passed, 10 failed
1660/3072 plants; 166 calls; 1650 passed, 10 failed
1670/3072 plants; 167 calls; 1660 passed, 10 failed
