taxonId,name,rank,status,language,allRawSourceTokens,selectedRawSourceTokens,selectedCleanSourceTokens,evidencePacketTokens,hasSources,draftRequestTextTokens
53169,Oxalis pes-caprae,species,taxon_matched_text,en,8527,4616,1412,1690,True,2480
53343,Acacia dealbata,species,taxon_matched_text,en,7762,7081,1414,1662,True,2452
545482,Galactites tomentosus,species,taxon_matched_text,en,2627,1338,363,522,True,1312
76365,Cistus salviifolius,species,taxon_matched_text,en,4355,3011,1106,1332,True,2122
50868,Quercus suber,species,taxon_matched_text,en,13188,10217,4749,5325,True,6115
76764,Echium plantagineum,species,taxon_matched_text,en,2651,2209,680,870,True,1660
82689,Arbutus unedo,species,taxon_matched_text,en,21808,11934,3331,3946,True,4736
64017,Arundo donax,species,taxon_matched_text,en,23119,10272,4296,4805,True,5595
129454,Umbilicus rupestris,species,taxon_matched_text,pt,4392,3152,1567,1870,True,2660
82600,Pistacia lentiscus,species,taxon_matched_text,en,7849,4145,1713,1990,True,2780
64240,Cortaderia selloana,species,taxon_matched_text,en,5959,3745,767,971,True,1761
57140,Olea europaea,species,taxon_matched_text,en,39867,2040,326,453,True,1243
49322,Carpobrotus edulis,species,taxon_matched_text,en,8862,5836,1889,2221,True,3011
76362,Cistus ladanifer,species,taxon_matched_text,en,4077,2582,718,917,True,1707
82836,Daphne gnidium,species,taxon_matched_text,en,2402,1207,449,574,True,1364
52681,Pteridium aquilinum,species,taxon_matched_text,en,9347,6535,2031,2390,True,3180
425378,Glandora prostrata,species,taxon_matched_text,en,2009,639,119,227,True,1017
53983,Digitalis purpurea,species,taxon_matched_text,en,11491,7777,2477,2897,True,3687
82646,Dittrichia viscosa,species,taxon_matched_text,en,3766,2283,598,764,True,1554
51147,Crataegus monogyna,species,taxon_matched_text,en,8157,6062,1941,2343,True,3133
53344,Acacia melanoxylon,species,taxon_matched_text,en,4602,3929,1428,1672,True,2462
82723,Pinus pinaster,species,taxon_matched_text,en,9419,7410,3338,3687,True,4477
76610,Daucus carota,species,taxon_matched_text,en,10430,9839,2812,3123,True,3913
83085,Anacamptis pyramidalis,species,taxon_matched_text,en,5559,3103,1024,1248,True,2038
82672,Cistus crispus,species,taxon_matched_text,en,2970,1739,401,546,True,1336
53398,Eucalyptus globulus,species,taxon_matched_text,en,10416,6571,2025,2327,True,3117
61904,Lavandula stoechas,species,taxon_matched_text,en,2716,2010,694,877,True,1667
71105,Centranthus calcitrapae,species,taxon_matched_text,pt,2243,1370,334,484,True,1274
333717,Andryala integrifolia,species,taxon_matched_text,en,1914,633,28,115,True,905
53052,Foeniculum vulgare,species,text_needs_scope_review,en,12812,9565,3259,3789,True,4579
636795,Salvia rosmarinus,species,text_needs_scope_review,en,14171,9682,2209,2584,True,3374
52764,Prunella vulgaris,species,taxon_matched_text,en,9141,4278,993,1247,True,2037
78895,Rubus ulmifolius,species,taxon_matched_text,en,3792,2188,387,558,True,1348
82903,Smilax aspera,species,taxon_matched_text,en,3587,1687,364,479,True,1269
82856,Rhamnus alaternus,species,taxon_matched_text,en,4823,1623,508,666,True,1456
63379,Acacia longifolia,species,taxon_matched_text,en,8213,4230,1395,1624,True,2414
119450,Calluna vulgaris,species,taxon_matched_text,pt,8078,2334,892,1181,True,1971
82904,Ruscus aculeatus,species,taxon_matched_text,en,7355,3800,969,1210,True,2000
76923,Erigeron karvinskianus,species,taxon_matched_text,en,3665,2313,437,589,True,1379
78159,Myrtus communis,species,taxon_matched_text,en,4774,2195,311,480,True,1270
59315,Orchis italica,species,taxon_matched_text,en,1310,1310,213,306,True,1096
341977,Coleostephus myconis,species,taxon_matched_text,en,2099,724,210,321,True,1111
243620,Serapias parviflora,species,taxon_matched_text,en,1818,1194,470,613,True,1403
61168,Arum italicum,species,taxon_matched_text,en,7862,7423,921,1128,True,1918
83816,Ophrys apifera,species,taxon_matched_text,en,8455,6114,2377,2788,True,3578
57157,Briza maxima,species,taxon_matched_text,en,1866,613,149,250,True,1040
54404,Papaver rhoeas,species,taxon_matched_text,en,13827,12663,5753,6442,True,7232
82666,Viburnum tinus,species,taxon_matched_text,en,4872,2567,770,939,True,1729
82980,Quercus faginea,species,taxon_matched_text,en,4684,2203,725,872,True,1662
51286,Bellardia trixago,species,taxon_matched_text,en,2973,2973,757,914,True,1704
