batch,taxonId,name,language,status,paragraphWords,paragraphTokens,compactOutputTokens,foodAndToxicityTokenContribution,reviewFlagsTokenContribution,foodStatus,toxicityStatus,reviewFlagCount,errors
batch-01,50191,Cordyline australis,en,draft,71,89,358,207,5,documented_use,not_documented,0,[]
batch-01,48233,Nephrolepis cordifolia,en,draft,53,70,149,26,21,not_documented,not_documented,1,[]
batch-01,181887,Acacia cultriformis,en,draft,71,94,198,62,5,documented_use,not_documented,0,[]
batch-01,79077,Sida rhombifolia,en,draft,75,103,176,26,5,not_documented,not_documented,0,[]
batch-01,545349,Crassula capitella,en,draft,70,87,160,26,5,not_documented,not_documented,0,[]
batch-01,156142,Sciuro-hypnum plumosum,de,draft,75,100,173,26,5,not_documented,not_documented,0,[]
batch-01,54990,Stapelia gigantea,en,draft,78,101,179,26,5,not_documented,not_documented,0,[]
batch-01,159088,Atriplex tatarica,en,draft,75,99,167,26,5,not_documented,not_documented,0,[]
batch-01,136096,Encephalartos altensteinii,en,draft,68,92,195,61,5,not_documented,reported,0,[]
batch-01,52162,Cakile edentula,en,draft,75,92,201,62,5,documented_use,not_documented,0,[]
batch-01,273596,Ferocactus macrodiscus,en,draft,66,94,162,26,5,not_documented,not_documented,0,[]
batch-01,79502,Vicia disperma,pt,draft,40,69,137,26,5,not_documented,not_documented,0,[]
batch-01,367209,Hesperantha coccinea,en,draft,65,88,151,26,5,not_documented,not_documented,0,[]
batch-01,497852,Rubus sampaioanus,pt,draft,35,43,111,26,5,not_documented,not_documented,0,[]
batch-01,400944,Coleonema pulchrum,es,draft,41,64,127,26,5,not_documented,not_documented,0,[]
batch-01,168738,Sedum hispanicum,en,draft,67,88,151,26,5,not_documented,not_documented,0,[]
batch-01,400433,Carex otrubae,en,draft,60,83,146,26,5,not_documented,not_documented,0,[]
batch-01,243780,Sisyrinchium striatum,en,draft,56,80,143,26,5,not_documented,not_documented,0,[]
batch-01,484935,Viburnum treleasei,en,draft,39,63,116,26,5,not_documented,not_documented,0,[]
batch-01,77058,Eruca vesicaria,en,draft,49,63,116,26,5,not_documented,not_documented,0,[]
batch-01,440836,Musschia aurea,en,draft,33,42,95,26,5,not_documented,not_documented,0,[]
batch-01,583831,Dimorphotheca spectabilis,en,draft,18,30,83,26,5,not_documented,not_documented,0,[]
batch-01,167943,Robinia viscosa,en,draft,21,32,85,26,5,not_documented,not_documented,0,[]
batch-01,361074,Oxalis caprina,en,draft,19,32,85,26,5,not_documented,not_documented,0,[]
batch-01,57312,Vicia ludoviciana,en,insufficient_source,0,0,74,26,27,not_documented,not_documented,1,[]
batch-02,366790,Angraecum sesquipedale,en,draft,75,98,171,26,5,not_documented,not_documented,0,[]
batch-02,335091,Kalanchoe tomentosa,en,draft,64,82,231,97,5,not_documented,reported,0,[]
batch-02,75921,Cabomba caroliniana,en,draft,78,95,178,26,5,not_documented,not_documented,0,[]
batch-02,131560,Euphorbia hirta,en,draft,77,93,151,26,5,not_documented,not_documented,0,[]
