taxon_id,scientific_name,rank,source_material_status,wikipedia_status,available_article_urls,botanical_source_urls,record_path
53169,Oxalis pes-caprae,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Oxalis_pes-caprae | https://pt.wikipedia.org/wiki/Oxalis_pes-caprae,,taxa/53169.json
53343,Acacia dealbata,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Acacia_dealbata | https://pt.wikipedia.org/wiki/Acacia_dealbata,,taxa/53343.json
545482,Galactites tomentosus,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Galactites_tomentosus | https://pt.wikipedia.org/wiki/Galactites_tomentosus,,taxa/545482.json
76365,Cistus salviifolius,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Cistus_salviifolius | https://pt.wikipedia.org/wiki/Cistus_salviifolius,,taxa/76365.json
50868,Quercus suber,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Quercus_suber | https://pt.wikipedia.org/wiki/Sobreiro,,taxa/50868.json
76764,Echium plantagineum,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Echium_plantagineum | https://pt.wikipedia.org/wiki/Echium_plantagineum,,taxa/76764.json
82689,Arbutus unedo,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Arbutus_unedo | https://pt.wikipedia.org/wiki/Arbutus_unedo,,taxa/82689.json
64017,Arundo donax,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Arundo_donax | https://pt.wikipedia.org/wiki/Cana-do-reino,,taxa/64017.json
129454,Umbilicus rupestris,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Wall_Pennywort | https://pt.wikipedia.org/wiki/Umbilicus_rupestris,,taxa/129454.json
82600,Pistacia lentiscus,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Pistacia_lentiscus | https://pt.wikipedia.org/wiki/Pistacia_lentiscus,,taxa/82600.json
64240,Cortaderia selloana,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Cortaderia_selloana | https://pt.wikipedia.org/wiki/Cortaderia_selloana,,taxa/64240.json
57140,Olea europaea,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Olea_europaea | https://en.wikipedia.org/wiki/Olive | https://pt.wikipedia.org/wiki/Azeitona | https://pt.wikipedia.org/wiki/Oliveira,,taxa/57140.json
49322,Carpobrotus edulis,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Carpobrotus_edulis | https://pt.wikipedia.org/wiki/Carpobrotus_edulis,,taxa/49322.json
76362,Cistus ladanifer,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Cistus_ladanifer | https://pt.wikipedia.org/wiki/Cistus_ladanifer,,taxa/76362.json
82836,Daphne gnidium,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Daphne_gnidium | https://pt.wikipedia.org/wiki/Daphne_gnidium,,taxa/82836.json
52681,Pteridium aquilinum,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Pteridium_aquilinum | https://pt.wikipedia.org/wiki/Pteridium_aquilinum,,taxa/52681.json
425378,Glandora prostrata,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Glandora_prostrata | https://pt.wikipedia.org/wiki/Lithodora_prostrata,,taxa/425378.json
53983,Digitalis purpurea,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Digitalis_purpurea | https://pt.wikipedia.org/wiki/Digitalis_purpurea,,taxa/53983.json
82646,Dittrichia viscosa,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Dittrichia_viscosa | https://pt.wikipedia.org/wiki/Dittrichia_viscosa,,taxa/82646.json
51147,Crataegus monogyna,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Crataegus_monogyna | https://pt.wikipedia.org/wiki/Crataegus_monogyna,,taxa/51147.json
